Year,Genre encoded,Votes encoded,Director encoded,Actor 1 encoded,Actor 2 encoded,Actor 3 encoded,Predicted_Rating
2002,5.7,5.4,4.5,5.0,5.2,5.4,4.3
2009,5.6,5.7,4.5,5.8,5.2,6.2,4.6
2014,5.8,5.7,3.2,3.2,5.7,4.3,3.5
1983,6.0,5.6,6.2,6.2,5.9,6.5,6.2
2019,6.0,5.8,6.3,5.8,6.2,5.8,5.8
2001,4.6,5.9,5.8,6.0,5.1,5.0,5.8
2003,5.6,6.1,4.9,4.5,5.0,5.7,4.2
2009,5.3,5.2,4.6,5.5,5.1,5.1,4.6
1962,5.6,5.8,5.9,6.0,6.0,5.9,5.800000000000001
2017,6.0,5.8,6.5,6.6,5.1,6.9,5.8
2010,6.1,5.6,6.6,5.2,6.3,6.2,5.8
2018,6.4,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2007,6.1,7.0,5.1,6.0,5.3,5.1,5.1
2019,6.0,5.8,5.9,5.9,5.9,5.9,5.799999999999973
2017,5.3,3.6,5.2,5.1,4.7,5.0,4.1
2007,5.3,5.8,5.4,5.4,6.3,5.4,5.8
1981,5.6,5.9,6.3,6.3,5.6,6.0,6.0
2008,6.0,7.7,7.1,6.5,6.0,6.3,7.700000000000002
2019,6.0,5.8,5.8,5.8,5.8,5.9,5.799999999999836
2019,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1983,5.8,5.6,7.1,7.0,5.9,5.9,7.2
2016,6.2,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1977,6.1,5.6,5.4,5.7,3.5,5.7,3.5
1974,5.5,5.7,5.7,6.0,6.3,6.0,5.5
1961,6.1,5.7,6.2,6.0,6.2,6.4,6.5
2004,5.6,4.8,5.0,4.8,6.1,5.6,4.9
2013,5.8,5.8,5.1,4.4,4.4,4.4,4.4
2013,5.6,6.0,5.8,6.0,6.3,5.4,4.7
2007,5.9,5.8,3.8,5.5,3.8,3.8,3.7999999999999994
2012,6.0,8.1,8.1,8.1,8.1,8.1,8.1
2002,5.6,5.8,5.8,5.8,5.3,5.9,5.799999999999836
2019,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1965,6.7,5.7,6.3,6.2,6.0,6.6,6.1
2013,5.6,2.0,3.6,6.0,2.9,2.0,1.8
2016,5.9,5.4,6.3,6.0,5.8,5.7,5.3
1954,6.1,5.8,6.4,6.0,6.0,6.5,6.1
1976,6.2,6.5,6.9,6.8,6.2,6.2,5.7
1979,5.5,5.7,5.8,5.6,6.0,5.8,6.3
1972,6.3,4.8,7.3,5.3,6.6,5.9,8.3
1991,5.6,5.7,4.1,5.3,4.9,4.7,4.1
2017,5.7,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2019,5.4,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1935,6.0,5.8,5.8,5.8,5.8,5.9,5.799999999999836
1993,5.6,5.8,5.8,5.8,5.8,5.3,5.8
1976,5.6,6.7,6.3,5.9,5.6,5.8,6.6
1972,5.7,5.8,6.1,6.2,6.1,5.8,5.800000000000004
1973,5.6,5.7,5.7,5.7,5.8,5.4,6.3
2015,6.0,5.2,5.9,6.4,6.1,5.9,7.0
2016,5.5,5.5,6.2,5.6,5.6,5.7,5.5
1995,5.7,5.4,4.6,5.3,5.2,5.6,5.1
1964,6.0,5.8,6.2,5.8,5.8,5.8,5.8000000000000025
1989,6.0,5.6,4.5,4.5,4.5,4.5,4.5
2018,6.4,5.8,7.6,7.6,5.9,5.9,9.4
2000,5.4,5.8,5.8,5.8,5.8,5.9,5.799999999999836
2005,5.6,5.8,5.8,5.5,5.9,5.9,5.800000000000006
1986,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2012,5.8,4.9,5.6,5.6,5.3,5.1,4.4
1957,6.0,5.6,7.1,6.0,7.1,6.4,6.9
1988,5.7,6.0,5.8,5.7,6.0,6.0,6.8
2006,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1964,6.0,5.8,5.8,5.9,5.8,5.8,5.799999999999836
1964,6.0,5.4,5.8,6.1,6.4,6.0,6.7
2005,5.6,6.5,6.1,6.4,6.5,6.5,6.9
1973,5.6,5.8,5.5,5.8,6.1,5.9,5.800000000000003
1991,5.6,5.7,6.2,5.1,6.0,5.1,5.0
1990,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1991,5.6,5.8,5.0,5.6,5.8,5.7,5.8
2009,5.7,7.3,6.4,6.4,5.3,5.9,6.3
1940,6.0,5.8,6.0,5.9,5.9,5.9,5.800000000000003
1996,5.5,4.3,4.6,5.5,6.3,5.4,4.2
1986,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2009,6.2,5.7,3.0,4.5,3.0,3.0,4.2
2003,5.6,5.8,5.3,5.0,5.5,5.5,5.1
1991,5.6,5.7,4.8,5.3,5.2,5.2,4.8
1946,6.5,5.8,6.0,5.9,6.2,5.0,5.800000000000003
2016,6.0,7.4,7.3,6.2,7.6,6.4,7.6
1954,6.0,5.8,5.8,5.8,5.9,5.8,5.799999999999836
2020,5.6,5.8,5.6,5.8,5.8,5.8,5.799999999999836
2020,5.9,6.1,5.0,8.1,8.1,5.9,6.5
2004,6.0,5.8,4.4,5.0,6.0,5.8,5.799999999999998
2005,6.1,6.7,6.7,6.5,6.7,5.7,6.6
1977,6.0,5.4,8.0,8.0,8.0,8.0,8.0
1974,6.4,5.7,6.3,5.3,6.2,6.2,6.8
1982,6.0,5.8,5.9,5.9,5.9,5.9,5.816666666666666
1935,6.0,5.7,5.8,5.9,5.9,5.9,6.0
2007,5.6,6.4,6.6,6.9,6.5,6.2,7.5
1952,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1979,6.5,6.2,6.5,6.4,5.9,6.0,7.0
1975,6.0,5.6,6.2,6.3,6.7,7.0,6.9
2020,6.0,7.4,7.6,7.6,6.7,5.4,7.6
1953,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1993,6.4,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1998,5.6,6.0,5.1,5.3,5.3,5.2,5.1
2012,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1969,5.9,6.5,6.4,5.9,6.8,7.3,7.2
2000,5.6,5.8,5.8,5.8,5.4,5.2,5.8
1978,6.0,5.8,5.9,5.9,5.9,5.9,5.800000000000006
1996,5.6,5.7,6.9,6.9,6.9,6.0,7.3
1990,6.0,6.0,7.6,6.1,7.6,6.6,7.5
1960,5.6,5.8,5.9,5.9,5.8,5.9,5.800000000000005
2008,5.7,5.4,6.2,5.8,6.4,5.4,5.4
1999,5.7,6.2,5.6,6.5,5.5,5.4,6.3
1937,5.6,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2011,5.7,6.9,6.2,7.0,6.9,6.9,7.1
1989,5.5,5.4,4.6,5.2,5.1,4.7,3.2
2021,6.0,5.8,6.1,5.8,5.8,5.7,6.4
2019,5.9,6.2,6.2,6.8,6.3,6.4,6.8
1964,5.6,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2014,6.5,6.2,7.9,6.1,6.2,7.9,7.8
2015,7.0,5.6,7.5,7.5,5.9,5.9,7.5
1963,6.2,6.2,6.4,5.9,6.4,6.0,7.4
1988,6.0,5.6,6.5,5.1,4.9,5.8,5.8
1984,5.7,7.4,5.9,6.0,6.0,5.5,7.5
1985,5.5,5.7,5.2,5.6,5.8,6.2,4.9
2000,5.6,5.8,5.8,5.8,5.8,7.0,5.8
1970,5.6,5.8,5.8,6.4,6.0,6.0,5.800000000000008
1989,5.6,5.5,5.2,5.3,5.2,6.2,6.9
1978,5.9,5.8,6.2,6.2,6.1,5.5,5.800000000000004
2014,6.0,5.8,7.5,7.7,7.7,7.7,7.7
2021,6.1,4.5,4.5,4.5,4.5,4.5,4.5
2019,6.4,5.7,8.2,5.9,5.9,5.9,8.7
2001,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
2021,6.7,5.8,5.8,6.3,5.8,5.8,5.800000000000008
2001,6.0,5.7,4.9,4.7,3.8,3.8,3.7999999999999994
1961,6.0,5.8,7.0,5.8,5.7,5.8,5.800000000000004
2001,5.9,7.5,5.7,6.0,7.5,7.5,7.5
1973,5.7,5.8,5.8,5.9,5.8,5.9,5.799999999999836
1972,5.8,5.7,6.3,5.3,6.1,6.0,6.8
1950,6.0,5.7,6.1,6.2,6.1,7.4,7.6
2018,6.0,5.9,8.1,8.1,8.1,8.1,8.1
2017,6.4,5.8,9.0,5.9,5.9,5.9,9.0
2015,5.9,5.6,6.4,5.1,6.6,5.8,5.8
2003,6.0,5.8,5.8,5.1,5.8,5.8,5.800000000000005
2001,5.6,5.7,5.3,5.6,5.8,8.5,3.9
2008,5.7,5.4,6.2,6.7,6.3,5.4,4.6
1995,5.8,6.4,4.8,5.4,5.1,5.8,6.5
1939,6.0,5.8,6.1,5.8,6.0,5.8,5.8
1963,5.8,5.7,5.7,6.0,6.2,6.0,4.8
1997,6.4,7.0,6.2,6.6,4.5,5.8,5.8
2003,5.4,6.3,5.4,5.9,5.0,3.8,3.8
1985,5.9,7.1,6.1,5.9,6.3,5.9,7.0
1974,5.7,6.3,6.0,5.6,6.6,5.7,6.0
2010,7.0,5.9,7.3,5.9,5.9,5.9,5.8
1972,6.1,5.7,5.2,5.8,6.1,6.0,7.1
1976,5.6,5.8,6.5,6.3,6.3,5.3,7.9
1960,6.0,5.8,5.8,6.0,5.8,6.2,5.8
2004,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1962,6.1,5.7,5.4,5.9,6.0,5.6,5.0
2017,5.9,5.8,7.1,6.5,6.0,7.4,5.8
2015,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2004,5.7,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2010,5.6,5.8,4.6,5.8,4.8,6.0,4.2
1974,6.0,5.7,5.0,6.3,5.8,5.9,5.8
1965,6.3,5.7,6.1,5.9,5.6,6.2,7.3
1965,6.6,5.8,6.2,6.2,6.1,6.3,5.8
1966,5.9,6.1,6.2,6.3,6.1,6.4,7.2
2014,6.0,5.8,5.8,6.3,5.6,5.8,5.800000000000008
1976,5.7,8.3,6.6,5.9,6.3,7.0,8.3
2021,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
2000,5.7,5.8,5.8,4.7,5.8,5.9,5.8
2001,5.8,5.8,5.8,5.8,5.3,5.8,5.799999999999836
1971,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1992,5.5,4.3,5.2,5.5,4.2,4.3,3.9
2020,5.7,5.6,5.6,5.4,5.1,5.4,5.4
1934,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1965,6.0,5.8,5.9,5.9,5.9,5.9,5.800000000000006
1973,5.6,5.8,5.8,5.7,5.7,5.8,5.8
1988,6.0,5.8,5.5,5.8,6.0,5.9,5.8
1954,6.0,5.8,5.8,5.9,6.0,6.2,5.800000000000006
1953,5.6,5.6,6.5,5.6,5.9,6.2,5.0
1987,5.6,5.8,6.0,5.7,5.8,5.8,5.799999999999999
2016,5.9,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1992,5.6,7.2,5.8,5.8,5.7,5.8,7.2
2016,5.6,6.0,5.4,5.7,6.8,5.4,5.8
1946,6.0,5.8,5.7,5.8,5.8,5.8,5.799999999999836
2014,6.0,5.8,6.0,5.8,5.8,6.1,5.8
1972,5.5,6.1,5.8,6.8,6.9,5.9,6.6
2019,5.8,5.8,5.8,5.8,5.9,5.9,5.799999999999836
2016,6.0,5.8,5.8,5.8,5.8,6.0,5.799999999999836
1997,5.6,5.8,5.8,6.5,5.9,5.9,5.800000000000008
1947,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1962,5.5,5.7,6.2,6.2,6.3,6.4,6.4
1949,6.0,5.8,6.0,6.8,5.9,5.9,5.8
1999,5.7,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2021,4.8,6.0,5.5,5.3,6.0,5.3,6.2
1965,6.1,5.8,5.8,5.8,6.0,5.9,5.800000000000003
2021,5.8,5.8,6.8,5.8,5.8,6.0,5.800000000000004
1938,6.0,5.8,6.2,5.8,5.8,6.1,5.800000000000004
1998,6.0,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1935,6.0,5.8,6.2,5.8,5.9,5.9,5.800000000000004
1986,5.9,5.5,5.7,6.2,5.8,5.2,5.7
1947,6.0,5.6,5.9,6.8,6.0,5.9,6.2
1984,5.6,5.9,5.7,5.2,5.5,5.3,5.8
1946,6.0,5.8,5.7,5.8,5.8,5.8,5.799999999999836
1953,6.0,5.8,6.5,6.0,6.5,6.2,5.8
2003,5.7,5.8,5.8,5.8,5.8,5.9,5.799999999999836
1978,6.0,6.0,6.1,5.7,6.6,6.1,6.3
2019,5.5,5.8,6.4,5.9,5.9,5.9,5.8
1960,5.8,5.8,6.2,6.1,5.9,6.1,6.1
1987,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1984,5.6,5.8,6.1,5.8,5.8,5.8,5.800000000000004
2012,6.0,6.3,6.2,5.6,6.2,6.3,6.3
2011,6.1,5.8,5.2,5.9,5.8,5.8,5.8000000000000025
2006,6.0,5.0,5.6,5.4,5.3,4.6,4.9
2016,5.5,6.2,6.3,6.2,5.4,6.3,6.200000000000001
1969,6.4,7.6,6.6,6.4,6.9,6.0,7.6
1992,5.6,5.6,4.2,4.7,4.9,4.8,3.1
1940,6.0,5.8,5.9,5.8,5.8,5.9,5.800000000000004
2019,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2015,5.7,7.3,6.8,6.0,6.6,7.3,7.3
1944,6.0,5.6,6.0,6.4,6.1,7.8,7.8
1998,5.7,5.9,6.6,6.0,5.5,5.4,6.8
1970,5.6,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1935,6.0,5.8,5.7,5.9,5.9,5.9,5.799999999999836
2000,5.5,5.1,4.2,5.6,5.2,5.5,4.0
1973,5.9,5.6,5.6,5.8,5.8,6.0,5.9
1980,5.5,5.6,5.2,5.6,6.0,5.9,3.1
1970,6.4,5.1,6.0,6.4,6.6,5.9,6.5
2014,5.5,5.2,5.5,5.0,4.1,5.5,5.2
1985,5.6,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1950,5.7,5.6,6.3,6.4,6.0,6.4,6.9
1957,6.2,5.7,5.7,5.9,5.9,5.9,7.1
1942,6.0,5.8,5.9,5.9,5.9,5.9,5.800000000000004
2012,6.0,5.8,6.0,5.8,5.8,5.8,5.8
1964,6.0,5.8,5.8,5.8,5.8,5.9,5.799999999999836
1981,6.0,5.8,5.9,5.8,6.0,5.7,5.8
2017,5.9,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2013,5.8,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1940,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1973,6.0,5.8,7.2,7.1,6.2,7.1,7.0
1978,5.7,5.8,5.9,5.9,5.9,5.9,5.800000000000003
2004,5.9,3.4,4.4,4.5,5.3,3.8,3.8
2017,5.6,5.8,5.8,6.6,5.8,5.8,5.800000000000008
1961,6.1,5.4,6.1,7.4,6.1,7.4,7.6
2000,5.6,5.8,5.8,5.8,4.5,5.8,5.8000000000000025
2004,5.6,5.8,5.9,5.9,5.9,5.9,5.800000000000005
1961,6.0,5.8,6.0,5.9,6.3,5.8,5.800000000000006
2006,5.7,5.8,5.8,6.6,5.8,5.9,5.800000000000008
1991,6.0,5.8,5.8,6.0,5.3,5.4,5.800000000000003
1931,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2014,6.1,5.7,6.4,6.0,4.6,6.4,6.3
1972,6.0,5.7,5.9,6.4,6.1,5.9,6.7
1936,6.0,5.8,5.9,5.8,5.8,5.9,5.800000000000004
1963,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1970,5.9,6.7,6.6,6.7,6.6,6.2,6.7
2006,6.0,5.8,5.8,5.9,5.8,5.8,5.799999999999836
2019,5.7,5.8,5.8,5.6,5.8,5.8,5.800000000000006
2011,5.9,6.0,5.3,5.3,5.3,5.3,5.4
2010,6.1,8.0,7.2,7.7,5.6,6.9,8.0
2012,6.2,5.7,7.4,6.2,6.1,7.4,7.4
1974,5.9,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1964,6.0,5.8,6.0,6.5,6.1,6.8,5.8
1998,5.7,5.3,4.6,5.0,4.9,5.8,4.7
1990,6.0,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1967,5.5,5.6,5.9,6.2,6.2,6.4,6.4
2019,6.0,5.8,5.8,6.9,5.8,5.9,5.800000000000008
2001,5.7,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2021,6.0,5.8,5.8,5.8,6.6,5.9,5.799999999999999
2019,5.7,5.8,5.8,5.8,5.8,5.2,5.8
1996,5.6,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2003,5.3,4.1,4.8,5.0,5.6,4.1,3.3
1994,6.0,5.8,5.7,5.8,6.0,6.0,5.8
1934,6.0,5.8,5.9,5.8,5.8,5.8,5.800000000000004
2016,5.9,5.9,5.4,5.4,5.4,5.4,5.4
2020,5.5,6.1,6.6,6.0,5.3,6.5,6.1
2017,5.7,5.8,5.3,5.9,6.0,5.8,5.8000000000000025
1986,5.9,5.5,5.2,5.1,5.1,6.6,6.9
1973,6.1,7.1,7.1,5.2,6.2,5.9,7.099999999999997
1996,5.3,5.9,4.9,5.3,4.6,5.8,5.8
1995,6.0,5.8,5.6,5.8,5.8,5.8,5.799999999999836
1972,6.0,5.4,6.5,6.3,6.7,6.0,6.5
2005,5.7,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1995,5.6,5.5,5.6,6.0,5.0,5.1,4.2
1966,6.0,5.8,6.3,5.8,5.8,5.8,5.8000000000000025
2021,5.9,5.8,6.2,6.5,5.8,5.8,5.799999999999998
1998,5.6,4.8,6.3,6.0,5.7,5.5,6.8
1994,6.2,6.0,5.2,5.6,5.7,5.8,5.8000000000000025
2016,6.4,5.8,5.8,5.8,5.9,5.9,5.799999999999836
2012,5.4,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1957,6.0,5.8,5.8,5.8,5.8,5.9,5.799999999999836
1974,6.0,6.2,6.4,6.4,6.5,6.3,6.6
1955,6.0,5.8,5.9,5.9,5.9,5.9,5.8
1970,5.7,5.8,5.8,5.9,5.8,6.1,5.800000000000004
1940,6.0,5.7,6.5,6.1,5.9,6.0,6.2
2003,5.4,5.7,5.6,5.5,6.0,5.3,5.7
2015,6.0,5.4,5.8,5.9,5.9,5.9,5.900000000000001
2014,5.4,4.2,4.2,4.8,5.0,4.2,3.4
1989,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
2017,6.0,5.8,6.9,5.8,6.9,5.8,5.8
2005,5.9,5.7,4.4,4.6,4.4,4.4,4.4
1934,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1940,5.9,5.6,6.8,6.8,6.1,8.0,7.9
1935,6.0,5.8,7.3,5.8,5.9,5.9,5.8
1946,5.6,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2006,6.0,7.9,6.9,5.9,5.6,6.4,7.9
1973,5.6,5.8,5.8,5.8,5.8,5.9,5.799999999999836
1959,6.0,5.8,6.6,5.9,5.9,5.9,5.800000000000004
2000,5.6,4.9,5.9,5.2,6.4,5.6,6.8
1986,6.0,5.8,5.8,5.8,6.3,6.1,5.799999999999999
1936,6.0,5.7,6.4,6.1,5.7,5.9,5.0
1948,6.0,5.8,5.8,6.0,5.8,5.8,5.799999999999836
2002,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
2014,5.4,5.3,5.3,5.3,4.7,6.5,5.2
1949,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2021,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1984,6.0,6.5,6.3,6.3,6.2,6.4,7.0
2005,5.8,5.8,5.8,5.9,5.8,5.8,5.799999999999836
2004,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
2017,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
2019,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1990,6.0,5.8,5.0,5.9,5.9,5.9,5.8000000000000025
2001,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1983,6.0,5.6,4.8,4.3,2.7,2.7,2.7
2020,5.7,5.3,4.4,5.8,4.4,4.4,4.4
2000,5.5,5.4,5.4,5.6,5.9,5.5,3.9
1971,6.0,5.4,5.8,6.3,5.8,6.1,6.5
1978,5.8,5.8,4.6,5.8,6.5,5.4,4.5
1995,5.9,5.4,4.0,6.2,5.4,5.7,6.1
2017,6.1,4.4,7.8,6.0,7.8,7.8,6.6
2021,6.0,6.2,9.0,9.0,9.0,9.0,9.0
1998,5.6,5.8,4.7,5.8,6.0,5.4,4.6
2019,7.3,5.7,9.1,5.9,5.9,5.9,9.1
2018,6.1,5.1,6.2,6.2,6.2,6.2,5.0
1994,5.5,5.9,5.3,5.7,5.7,4.8,4.2
2018,6.4,5.9,6.3,9.2,6.4,5.9,8.7
1993,6.0,5.8,6.6,5.3,5.9,6.2,5.800000000000004
2018,5.6,5.5,4.2,4.2,4.2,4.2,4.200000000000001
2021,5.7,5.8,6.3,6.8,4.9,5.8,5.8
2002,5.7,5.8,5.8,5.8,5.6,5.8,5.799999999999836
1956,6.0,5.8,6.4,5.8,6.0,6.1,5.800000000000004
1989,5.7,5.4,4.7,5.0,5.3,4.9,5.8
2003,5.8,6.3,4.9,5.4,5.2,5.4,5.9
2022,5.9,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2019,5.7,5.8,5.9,6.3,5.8,5.9,5.799999999999998
1943,6.0,5.8,6.0,6.1,5.9,5.9,5.8
2006,5.7,5.8,5.8,5.8,5.3,5.4,5.8
1978,5.6,6.0,5.3,5.3,6.1,6.3,6.9
1946,5.3,5.8,5.0,5.6,5.6,5.8,6.3
2006,5.7,5.8,6.0,5.8,5.7,5.8,5.8
1959,5.8,5.8,5.8,5.8,5.7,6.4,5.8
1964,5.5,5.7,5.9,6.1,6.2,5.9,5.2
2013,4.6,3.4,3.5,3.5,3.5,6.0,3.5
2019,5.6,5.8,5.8,5.8,6.0,5.9,5.799999999999999
2012,6.0,5.6,6.1,5.5,5.7,5.0,5.0
2021,6.1,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1962,5.8,5.8,5.7,5.8,5.8,5.8,5.799999999999836
1990,6.0,5.8,5.8,5.5,5.8,5.8,5.800000000000005
1975,5.7,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2017,7.0,5.8,6.5,5.2,5.6,6.2,7.1
2008,5.7,4.1,5.4,4.8,4.4,3.9,3.5
2001,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
2000,5.6,5.8,5.8,5.8,5.7,5.8,5.799999999999836
1973,5.6,5.6,6.0,6.3,6.4,6.0,7.0
1989,6.0,5.8,5.6,6.3,5.8,5.8,5.799999999999999
1965,5.6,5.9,6.1,6.2,6.2,6.1,7.9
1973,6.0,5.8,5.9,5.9,5.9,5.9,5.800000000000006
2018,5.7,4.6,4.1,4.1,5.5,5.9,5.0
1986,5.5,5.7,5.3,5.2,6.5,6.1,5.8
1951,5.7,5.8,6.5,6.0,6.1,5.8,5.8
2014,5.8,6.0,6.0,5.6,5.9,6.2,6.2
2005,5.6,6.2,7.3,7.3,5.4,7.3,7.3
1998,6.4,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1971,5.9,5.9,6.3,6.0,5.6,6.3,5.7
1978,6.0,5.8,5.9,5.9,5.9,5.9,5.800000000000006
1981,6.0,5.8,5.8,5.9,5.9,5.9,5.799999999999836
